FIPS Code,County,Formatted FIPS,"Estimated median income of a household, between 2014-2018."
6071,San Bernardino,06071,60164
6027,Inyo,06027,52874
6029,Kern,06029,52479
6093,Siskiyou,06093,44200
6065,Riverside,06065,63948
6019,Fresno,06019,51261
6035,Lassen,06035,56362
6049,Modoc,06049,45149
6107,Tulare,06107,47518
6023,Humboldt,06023,45528
6037,Los Angeles,06037,64251
6089,Shasta,06089,50905
6045,Mendocino,06045,49233
6073,San Diego,06073,74855
6025,Imperial,06025,45834
6053,Monterey,06053,66676
6083,Santa Barbara,06083,71657
6105,Trinity,06105,38497
6079,San Luis Obispo,06079,70699
6103,Tehama,06103,42899
6051,Mono,06051,63018
6063,Plumas,06063,53270
6109,Tuolumne,06109,56493
6039,Madera,06039,52884
6111,Ventura,06111,84017
6047,Merced,06047,50129
6017,El Dorado,06017,80582
6097,Sonoma,06097,76753
6007,Butte,06007,48443
6061,Placer,06061,84357
6099,Stanislaus,06099,57387
6043,Mariposa,06043,51199
6077,San Joaquin,06077,61145
6021,Glenn,06021,47395
6015,Del Norte,06015,45258
6033,Lake,06033,42475
6069,San Benito,06069,81977
6031,Kings,06031,53865
6085,Santa Clara,06085,116178
6011,Colusa,06011,56704
6113,Yolo,06113,65923
6009,Calaveras,06009,58151
6057,Nevada,06057,63240
6067,Sacramento,06067,63902
6091,Sierra,06091,48125
6095,Solano,06095,77609
6059,Orange,06059,85398
6041,Marin,06041,110217
6001,Alameda,06001,92574
6013,Contra Costa,06013,93712
6055,Napa,06055,84753
6003,Alpine,06003,64688
6081,San Mateo,06081,113776
6115,Yuba,06115,52624
6101,Sutter,06101,56955
6005,Amador,06005,61198
6087,Santa Cruz,06087,78041
6075,San Francisco,06075,104552
